1 1 33 1.00
      9.2890e-01       1.5970e-02      -8.3590e-04
      9.0885e-01       1.9640e-01       2.6577e-04
      8.5398e-01       3.6947e-01       1.6358e-03
      7.6644e-01       5.2853e-01       3.2212e-03
      6.4966e-01       6.6730e-01       4.9595e-03
      5.0809e-01       7.8066e-01       6.7853e-03
      3.4694e-01       8.6430e-01       8.6309e-03
      1.7260e-01       9.1494e-01       1.0423e-02
     -8.2673e-03       9.3058e-01       1.2093e-02
     -1.8870e-01       9.1052e-01       1.3576e-02
     -3.6176e-01       8.5564e-01       1.4816e-02
     -5.2083e-01       7.6809e-01       1.5765e-02
     -6.5960e-01       6.5130e-01       1.6386e-02
     -7.7296e-01       5.0973e-01       1.6656e-02
     -8.5660e-01       3.4857e-01       1.6565e-02
     -9.0725e-01       1.7421e-01       1.6116e-02
     -9.2289e-01      -6.6553e-03       1.5326e-02
     -9.0285e-01      -1.8709e-01       1.4224e-02
     -8.4797e-01      -3.6015e-01       1.2854e-02
     -7.6043e-01      -5.1922e-01       1.1269e-02
     -6.4366e-01      -6.5799e-01       9.5303e-03
     -5.0209e-01      -7.7135e-01       7.7044e-03
     -3.4094e-01      -8.5498e-01       5.8589e-03
     -1.6659e-01      -9.0562e-01       4.0666e-03
      1.4274e-02      -9.2126e-01       2.3966e-03
      1.9470e-01      -9.0121e-01       9.1342e-04
      3.6777e-01      -8.4633e-01      -3.2634e-04
      5.2683e-01      -7.5877e-01      -1.2755e-03
      6.6560e-01      -6.4199e-01      -1.8963e-03
      7.7896e-01      -5.0041e-01      -2.1666e-03
      8.6261e-01      -3.3925e-01      -2.0752e-03
      9.1325e-01      -1.6490e-01      -1.6261e-03
      9.2890e-01       1.5970e-02      -8.3590e-04
