1 1 33 1.00
      9.3289e-01       2.0000e-03       6.5455e-02
      9.1505e-01       1.8266e-01       6.6366e-02
      8.6230e-01       3.5639e-01       6.7801e-02
      7.7672e-01       5.1652e-01       6.9705e-02
      6.6166e-01       6.5670e-01       7.2001e-02
      5.2150e-01       7.7178e-01       7.4605e-02
      3.6139e-01       8.5738e-01       7.7419e-02
      1.8769e-01       9.1015e-01       8.0332e-02
      7.0508e-03       9.2799e-01       8.3232e-02
     -1.7359e-01       9.1015e-01       8.6007e-02
     -3.4730e-01       8.5738e-01       8.8552e-02
     -5.0741e-01       7.7178e-01       9.0768e-02
     -6.4759e-01       6.5670e-01       9.2569e-02
     -7.6266e-01       5.1652e-01       9.3887e-02
     -8.4826e-01       3.5639e-01       9.4673e-02
     -9.0103e-01       1.8266e-01       9.4895e-02
     -9.1889e-01       2.0000e-03       9.4545e-02
     -9.0105e-01      -1.7866e-01       9.3634e-02
     -8.4830e-01      -3.5239e-01       9.2199e-02
     -7.6272e-01      -5.1252e-01       9.0295e-02
     -6.4766e-01      -6.5270e-01       8.7999e-02
     -5.0750e-01      -7.6778e-01       8.5395e-02
     -3.4739e-01      -8.5338e-01       8.2581e-02
     -1.7369e-01      -9.0615e-01       7.9668e-02
      6.9492e-03      -9.2399e-01       7.6768e-02
      1.8759e-01      -9.0615e-01       7.3993e-02
      3.6130e-01      -8.5338e-01       7.1448e-02
      5.2141e-01      -7.6778e-01       6.9232e-02
      6.6159e-01      -6.5270e-01       6.7431e-02
      7.7666e-01      -5.1252e-01       6.6113e-02
      8.6226e-01      -3.5239e-01       6.5327e-02
      9.1503e-01      -1.7866e-01       6.5105e-02
      9.3289e-01       2.0000e-03       6.5455e-02
