1 1 33 1.00
      9.3289e-01       2.0000e-03       6.5896e-02
      9.1505e-01       1.8266e-01       6.6807e-02
      8.6230e-01       3.5639e-01       6.8242e-02
      7.7672e-01       5.1652e-01       7.0145e-02
      6.6166e-01       6.5670e-01       7.2442e-02
      5.2150e-01       7.7178e-01       7.5046e-02
      3.6140e-01       8.5738e-01       7.7860e-02
      1.8770e-01       9.1015e-01       8.0773e-02
      7.0542e-03       9.2799e-01       8.3673e-02
     -1.7359e-01       9.1015e-01       8.6448e-02
     -3.4730e-01       8.5738e-01       8.8993e-02
     -5.0741e-01       7.7178e-01       9.1209e-02
     -6.4758e-01       6.5670e-01       9.3009e-02
     -7.6266e-01       5.1652e-01       9.4328e-02
     -8.4826e-01       3.5639e-01       9.5114e-02
     -9.0103e-01       1.8266e-01       9.5336e-02
     -9.1888e-01       2.0000e-03       9.4986e-02
     -9.0105e-01      -1.7866e-01       9.4075e-02
     -8.4830e-01      -3.5239e-01       9.2640e-02
     -7.6271e-01      -5.1252e-01       9.0736e-02
     -6.4766e-01      -6.5270e-01       8.8439e-02
     -5.0749e-01      -7.6778e-01       8.5836e-02
     -3.4739e-01      -8.5338e-01       8.3022e-02
     -1.7369e-01      -9.0615e-01       8.0109e-02
      6.9527e-03      -9.2399e-01       7.7209e-02
      1.8760e-01      -9.0615e-01       7.4433e-02
      3.6130e-01      -8.5338e-01       7.1889e-02
      5.2142e-01      -7.6778e-01       6.9672e-02
      6.6159e-01      -6.5270e-01       6.7872e-02
      7.7666e-01      -5.1252e-01       6.6554e-02
      8.6227e-01      -3.5239e-01       6.5768e-02
      9.1503e-01      -1.7866e-01       6.5546e-02
      9.3289e-01       2.0000e-03       6.5896e-02
