    1    1 30600    1.00
  -8.1015101e-01    9.2699518e-01    3.0750313e+00
  -8.1040928e-01    9.2694886e-01    3.0709379e+00
  -8.1066755e-01    9.2690253e-01    3.0668446e+00
  -8.1092582e-01    9.2685621e-01    3.0627512e+00
  -8.1118409e-01    9.2680989e-01    3.0586578e+00
  -8.1144236e-01    9.2676356e-01    3.0545645e+00
  -8.1169064e-01    9.2671724e-01    3.0504707e+00
  -8.1194892e-01    9.2666092e-01    3.0463773e+00
  -8.1220719e-01    9.2661459e-01    3.0422839e+00
  -8.1246546e-01    9.2656827e-01    3.0381905e+00
  -8.1272373e-01    9.2652195e-01    3.0340972e+00
  -8.1298200e-01    9.2647562e-01    3.0300038e+00
  -8.1323028e-01    9.2642930e-01    3.0259100e+00
  -8.1348855e-01    9.2638298e-01    3.0218166e+00
  -8.1374682e-01    9.2633666e-01    3.0177233e+00
  -8.1400509e-01    9.2629033e-01    3.0136299e+00
  -8.1426337e-01    9.2623401e-01    3.0095365e+00
  -8.1452574e-01    9.2618851e-01    3.0053432e+00
  -8.1477402e-01    9.2614218e-01    3.0012494e+00
  -8.1503229e-01    9.2609586e-01    2.9971560e+00
  -8.1529057e-01    9.2604954e-01    2.9930627e+00
  -8.1554884e-01    9.2600322e-01    2.9889693e+00
  -8.1580711e-01    9.2595689e-01    2.9848759e+00
  -8.1606538e-01    9.2591057e-01    2.9807826e+00
  -8.1631366e-01    9.2586425e-01    2.9766888e+00
  -8.1657193e-01    9.2580792e-01    2.9725953e+00
  -8.1683020e-01    9.2576160e-01    2.9685020e+00
  -8.1708848e-01    9.2571528e-01    2.9644086e+00
  -8.1734675e-01    9.2566895e-01    2.9603152e+00
  -8.1760502e-01    9.2562263e-01    2.9562219e+00
  -8.1785330e-01    9.2557631e-01    2.9521281e+00
  -8.1811157e-01    9.2552999e-01    2.9480347e+00
  -8.1836984e-01    9.2548366e-01    2.9439414e+00
  -8.1862811e-01    9.2542734e-01    2.9398479e+00
  -8.1888638e-01    9.2538102e-01    2.9357546e+00
  -8.1914466e-01    9.2533469e-01    2.9316612e+00
  -8.1939293e-01    9.2528837e-01    2.9275674e+00
  -8.1965121e-01    9.2524205e-01    2.9234740e+00
  -8.1990948e-01    9.2519572e-01    2.9193807e+00
  -8.2016775e-01    9.2514940e-01    2.9152873e+00
  -8.2042602e-01    9.2510308e-01    2.9111939e+00
  -8.2068840e-01    9.2505758e-01    2.9070007e+00
  -8.2093668e-01    9.2500125e-01    2.9029068e+00
  -8.2119495e-01    9.2495493e-01    2.8988134e+00
  -8.2145322e-01    9.2490861e-01    2.8947201e+00
  -8.2171149e-01    9.2486228e-01    2.8906267e+00
  -8.2196976e-01    9.2481596e-01    2.8865333e+00
  -8.2222803e-01    9.2476964e-01    2.8824400e+00
  -8.2247631e-01    9.2472331e-01    2.8783462e+00
  -8.2273458e-01    9.2467699e-01    2.8742528e+00
  -8.2299285e-01    9.2463067e-01    2.8701595e+00
  -8.2325113e-01    9.2457435e-01    2.8660660e+00
  -8.2350940e-01    9.2452802e-01    2.8619726e+00
  -8.2376767e-01    9.2448170e-01    2.8578793e+00
  -8.2401595e-01    9.2443538e-01    2.8537855e+00
  -8.2427422e-01    9.2438905e-01    2.8496921e+00
  -8.2453249e-01    9.2434273e-01    2.8455988e+00
  -8.2479076e-01    9.2429641e-01    2.8415054e+00
  -8.2504903e-01    9.2425008e-01    2.8374120e+00
  -8.2530731e-01    9.2420376e-01    2.8333187e+00
  -8.2555559e-01    9.2414744e-01    2.8292248e+00
  -8.2581386e-01    9.2410112e-01    2.8251314e+00
  -8.2607213e-01    9.2405479e-01    2.8210381e+00
  -8.2633040e-01    9.2400847e-01    2.8169447e+00
  -8.2659278e-01    9.2396297e-01    2.8127514e+00
  -8.2685105e-01    9.2391664e-01    2.8086581e+00
  -8.2709933e-01    9.2387032e-01    2.8045643e+00
  -8.2735760e-01    9.2382400e-01    2.8004709e+00
  -8.2761587e-01    9.2377767e-01    2.7963776e+00
  -8.2787415e-01    9.2372135e-01    2.7922841e+00
  -8.2813242e-01    9.2367503e-01    2.7881907e+00
  -8.2839069e-01    9.2362871e-01    2.7840974e+00
  -8.2863897e-01    9.2358238e-01    2.7800036e+00
  -8.2889724e-01    9.2353606e-01    2.7759102e+00
  -8.2915551e-01    9.2348974e-01    2.7718169e+00
  -8.2941378e-01    9.2344341e-01    2.7677235e+00
  -8.2967205e-01    9.2339709e-01    2.7636301e+00
  -8.2993033e-01    9.2334077e-01    2.7595367e+00
  -8.3017860e-01    9.2329444e-01    2.7554429e+00
  -8.3043688e-01    9.2324812e-01    2.7513495e+00
  -8.3069515e-01    9.2320180e-01    2.7472562e+00
  -8.3095342e-01    9.2315548e-01    2.7431628e+00
  -8.3121169e-01    9.2310915e-01    2.7390694e+00
  -8.3145997e-01    9.2306283e-01    2.7349757e+00
  -8.3171824e-01    9.2301651e-01    2.7308823e+00
  -8.3197651e-01    9.2297018e-01    2.7267889e+00
  -8.3223478e-01    9.2291386e-01    2.7226955e+00
  -8.3249716e-01    9.2286836e-01    2.7185022e+00
  -8.3275543e-01    9.2282204e-01    2.7144088e+00
  -8.3300371e-01    9.2277571e-01    2.7103151e+00
  -8.3326198e-01    9.2272939e-01    2.7062217e+00
  -8.3352025e-01    9.2268307e-01    2.7021283e+00
  -8.3377852e-01    9.2263674e-01    2.6980350e+00
  -8.3403680e-01    9.2259042e-01    2.6939416e+00
  -8.3429507e-01    9.2254410e-01    2.6898482e+00
  -8.3454335e-01    9.2248777e-01    2.6857544e+00
  -8.3480162e-01    9.2244145e-01    2.6816610e+00
  -8.3505989e-01    9.2239513e-01    2.6775676e+00
  -8.3531816e-01    9.2234880e-01    2.6734743e+00
  -8.3557643e-01    9.2230248e-01    2.6693809e+00
  -8.3583470e-01    9.2225616e-01    2.6652875e+00
  -8.3608298e-01    9.2220984e-01    2.6611938e+00
  -8.3634126e-01    9.2216351e-01    2.6571004e+00
  -8.3659953e-01    9.2211719e-01    2.6530070e+00
  -8.3685780e-01    9.2206087e-01    2.6489136e+00
  -8.3711607e-01    9.2201454e-01    2.6448202e+00
  -8.3738434e-01    9.2194822e-01    2.6407271e+00
  -8.3768261e-01    9.2180190e-01    2.6366345e+00
  -8.3801088e-01    9.2158558e-01    2.6325427e+00
